"","dsd_n_1","district_n","province_n","ntlt_mean"
"255","Polgahawela","Kurunegala","North Western",0.480583483854582
"256","Thambuttegama","Anuradhapura","North Central",0.184138355902711
"257","Polpithigama","Kurunegala","North Western",0.0260464642914749
"258","Poonakary","Kilinochchi","Northern",0.0463503300809164
"259","Thanamalvila","Moneragala","Uva",0.025433820420948
"260","Poratheevu Pattu","Batticaloa","Eastern",0.450107573468205
"261","Pottuvil","Ampara","Eastern",0.240602366603685
"262","Pujapitiya","Kandy","Central",0.213801794919101
"263","Puthukudiyiruppu","Mullaitivu","Northern",0.158217832646114
"264","Puttalam","Puttalam","North Western",1.5895082963319
"265","Thimbirigasyaya","Colombo","Western",20.274346175703
"266","Rajanganaya","Anuradhapura","North Central",0.0513882067666125
"267","Tissamaharama","Hambantota","Southern",0.129292089172541
"268","Trincomalee Town and Gravets","Trincomalee","Eastern",1.18149271316993
"269","Rambewa","Anuradhapura","North Central",0.03081604884221
"270","Udubaddawa","Kurunegala","North Western",0.64748628590558
"271","Rambukkana","Kegalle","Sabaragamuwa",0.292676422623248
"272","Rattota","Matale","Central",0.183110244274139
"273","Rideemaliyadda","Badulla","Uva",0.0225077000806273
"274","Ridigama","Kurunegala","North Western",0.0610237396855391
"275","Ruwanwella","Kegalle","Sabaragamuwa",0.137765744399882
"276","Sainthamarathu","Ampara","Eastern",4.74149011010709
"277","Sammanthurai","Ampara","Eastern",0.731594892052131
"278","Seethawaka","Colombo","Western",1.02811254654488
"279","Seruvila","Trincomalee","Eastern",0.103672403101798
"280","Sevanagala","Moneragala","Uva",0.12716695831149
"281","Siyambalanduwa","Moneragala","Uva",0.0294661067046557
"282","Sooriyawewa","Hambantota","Southern",0.50332523137331
"283","Thalawa","Anuradhapura","North Central",0.0826887979988426
"284","Thamankaduwa","Polonnaruwa","North Central",0.232546646509852
"285","Thambalagamuwa","Trincomalee","Eastern",0.131180593670483
"286","Udunuwara","Kandy","Central",0.493437929809848
"287","Thawalama","Galle","Southern",0
"288","Uhana","Ampara","Eastern",0.0553534533878897
"289","Thenmaradchy (Chavakachcheri)","Jaffna","Northern",0.705486433357982
"290","Thihagoda","Matara","Southern",0.682376624921621
"291","Thirappane","Anuradhapura","North Central",0.046130173925586
"292","Thirukkovil","Ampara","Eastern",0.103465346615111
"293","Thumpane","Kandy","Central",0.131201674242388
"294","Vadamaradchy North (Point Pedro)","Jaffna","Northern",1.53606563366272
"295","Thunukkai","Mullaitivu","Northern",0.0543673488794601
"296","Udadumbara","Kandy","Central",0.0160704255559062
"297","Udapalatha","Kandy","Central",0.606231950084183
"298","Ukuwela","Matale","Central",0.633471149839562
"299","Uva Paranagama","Badulla","Uva",0.0476882160168428
"300","Vadamaradchy East","Jaffna","Northern",0.335863764555949
"301","Valikamam East (Kopay)","Jaffna","Northern",1.2621433151137
"302","Valikamam South-West (Sandilipay)","Jaffna","Northern",1.38923891893042
"303","Valikamam South (Uduvil)","Jaffna","Northern",2.16302936923119
"304","Valikamam West (Chankanai)","Jaffna","Northern",1.09494768668953
"305","Vavuniya","Vavuniya","Northern",0.278167672057811
"306","Vavuniya North","Vavuniya","Northern",0.0300058920540358
"307","Vavuniya South","Vavuniya","Northern",0.0896141524691947
"308","Vengalacheddikulam","Vavuniya","Northern",0.0621157812475543
"309","Verugal Eachchilampattu","Trincomalee","Eastern",0.118406933636967
"310","Walallavita","Kalutara","Western",0.0400805463245259
"311","Walapane","Nuwara Eliya","Central",0.0554603813650129
"312","Walasmulla","Hambantota","Southern",0.114829530318578
"313","Wanathavilluwa","Puttalam","North Western",0.0618911035815931
"314","Warakapola","Kegalle","Sabaragamuwa",0.286062691606912
"315","Wariyapola","Kurunegala","North Western",0.16643099963665
"316","Wattala","Gampaha","Western",6.64472185900663
"317","Weeraketiya","Hambantota","Southern",0.168973846265869
"318","Weerambugedara","Kurunegala","North Western",0.268903931119928
"319","Weligama","Matara","Southern",1.89313802167113
"320","Weligepola","Rathnapura","Sabaragamuwa",0.0560024746312807
"321","Welikanda","Polonnaruwa","North Central",0.13036194699027
"322","Welimada","Badulla","Uva",0.253476152078328
"323","Welioya","Mullaitivu","Northern",0.00874184911078382
"324","Welipitiya","Matara","Southern",0.771381595533353
"325","Welivitiya-Divithura","Galle","Southern",0.220216085589849
"326","Wellawaya","Moneragala","Uva",0.0702261949228369
"327","Wilgamuwa","Matale","Central",0.0138581344533281
"328","Yakkalamulla","Galle","Southern",0.0637027618967888
"329","Yatawatta","Matale","Central",0.054066821259837
"330","Yatinuwara","Kandy","Central",0.565072940138286
"331","Yatiyanthota","Kegalle","Sabaragamuwa",0.076021781200142
